Term_ID,Term,Short_Form,Category,Short_Definition,Extended_Definition,Why_It_Matters_For_PRO,Synonyms_And_Related_Terms,Example_In_Context,Source
28,Subscale,None,Instrument concept,"A scored grouping of related items within a PRO instrument measuring a single, coherent conceptual dimension.","A subscale is a scored composite of two or more instrument items that, together, measure a single coherent concept or domain within a PRO instrument; subscale scores are typically calculated as the mean or sum of constituent item responses, transformed to a 0–100 range where applicable. Subscales differ from total scores (aggregating all items) and single-item scales (individual questions), and each subscale may have its own MID, reliability estimate, and regulatory standing. Psychometric validation of a subscale includes internal consistency (Cronbach's alpha ≥0.70), test-retest reliability, convergent validity with related constructs, and discriminant validity from unrelated constructs. In regulatory submissions, subscale-level analyses must be prespecified and positioned in the multiplicity framework; reporting all subscale results without prior specification inflates Type I error. Subscale-level MIDs may differ from item-level or total score MIDs and must be established independently for each instrument-population combination.","Subscale scores are the primary unit of PRO analysis in most oncology trials, and their clinical interpretability depends on validated MIDs for each subscale in the specific disease population. An AI agent must pair every subscale result with its corresponding MID, psychometric validation status, and multiplicity position before assigning evidentiary weight.",Subscale | Sub-scale | PRO subscale | Domain score | Scale score | Component score | Composite score | Item cluster | Sub-domain | Dimensional score | Facet score | Module score,"The EORTC QLQ-C30 fatigue subscale score at week 12 showed a mean improvement of 11.4 points (95% CI 6.8–16.0) in the experimental arm, exceeding the established 10-point MID for this subscale in myeloma patients and supporting the characterisation of a clinically meaningful reduction in fatigue.",EORTC QLQ-C30 Scoring Manual | Osoba D et al. 1998 (J Clin Oncol) | Cocks K et al. 2011 (Eur J Cancer)
29,Utility Score / Health Utility Index,HUI,Instrument concept,A single preference-based index score representing overall health state value on a 0–1 scale anchored at death and full health.,"A health utility score is a single summary index of overall health state derived from a preference-based instrument, anchored at 0 (dead) and 1 (full health), with negative values possible for health states considered worse than death. Utility scores are elicited using instruments such as the EQ-5D-3L, EQ-5D-5L, SF-6D, or HUI-3, which map patient responses through population-based value sets derived from preference elicitation exercises (e.g., time trade-off, standard gamble) in general population samples. Utility scores are the primary input for quality-adjusted life year (QALY) calculations used in health technology assessment (HTA) by bodies such as NICE, CADTH, and IQWIG. In multiple myeloma, utility scores are influenced by disease severity, treatment toxicity, and response depth, and may vary substantially across lines of therapy and health states. FDA does not typically require utility data for label approval, but HTA submissions require robust utility evidence to support reimbursement decisions.","Health utility scores bridge PRO data from clinical trials to health economic modelling, enabling QALY calculation and cost-effectiveness analysis for payer submissions. An AI agent operating across both regulatory and HTA contexts must distinguish utility-based instruments from non-preference-based PROMs and flag utility data as critical inputs for reimbursement evidence packages.",Utility score | Health utility | Utility index | Preference-based score | EQ-5D score | EQ-5D utility | EQ-5D-3L | EQ-5D-5L | SF-6D | HUI | HUI-2 | HUI-3 | QALY weight | Health state utility | Preference weight | EQ-5D value | Health state value | VAS utility | TTO | Standard gamble | Utility value,"Mean EQ-5D-5L utility scores improved from 0.61 at baseline to 0.72 at week 24 in the experimental arm, a difference of 0.11 utility units exceeding the published MID of 0.07 for the EQ-5D-5L in haematological malignancies, and were used as health state inputs for the NICE cost-effectiveness model.",EMA Guideline on the Clinical Investigation of Medicines for the Treatment of Multiple Myeloma [GUIDANCE] | NICE Methods Guide (2022) [GUIDANCE] | Pickard AS et al. 2007 (Med Care)
30,Completion Rate,None,PRO methodology,The proportion of expected PRO assessments that were actually completed by enrolled patients at each timepoint.,"Completion rate is calculated as the number of patients who completed a PRO assessment at a given scheduled timepoint divided by the number of patients who were alive, on study, and eligible to complete that assessment at that timepoint, expressed as a percentage. It is distinct from overall compliance rate (which may pool across timepoints) and must be reported separately at each scheduled assessment window to identify visit-specific patterns of non-completion. FDA and EMA consider completion rates of ≥80% at each timepoint a minimum acceptable threshold for PRO data to be considered reliable and interpretable for regulatory purposes; rates below this trigger scrutiny of potential non-random dropout and bias. Completion rates should be reported by treatment arm to detect differential dropout — unequal completion rates between arms are a major threat to the validity of PRO comparisons. In multiple myeloma trials, completion rates often decline at later visits due to disease progression, toxicity, and death, requiring careful censoring and missing data strategies.","Completion rates are the primary data quality metric for PRO assessments; rates below 80% at key timepoints may invalidate PRO labelling claims regardless of statistical significance. An AI agent must extract and flag per-timepoint, per-arm completion rates and cross-reference them against thresholds when evaluating PRO evidence quality.",Completion rate | Assessment completion | Questionnaire completion rate | PRO completion | Data completion rate | Response rate (PRO) | Item completion | Visit completion rate | Assessment return rate | Questionnaire return rate | Non-completion | Observed data rate,"PRO completion rates exceeded 85% at all assessments through week 24 in both treatment arms, declining to 71% at week 48 in the control arm primarily due to disease progression-related discontinuation, which the sponsor addressed through a pre-specified sensitivity analysis under MNAR assumptions.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Kluetz PG et al. 2016 (Clin Cancer Res) | Efficace F et al. 2014 (J Clin Oncol)
31,Attrition,None,PRO methodology,"The loss of patients from PRO data collection over time due to dropout, withdrawal, death, or missed assessments.","Attrition refers to the progressive reduction in the number of patients contributing PRO data over the course of a trial, resulting from study withdrawal, treatment discontinuation, death, loss to follow-up, or non-compliance with assessment schedules. Attrition is a critical threat to the validity of longitudinal PRO analyses because it is rarely random: patients who deteriorate, experience toxicity, or progress are more likely to drop out, creating a systematic bias toward overestimation of treatment benefit in observed-case analyses. Attrition patterns must be characterised by treatment arm, reason for dropout, and timing relative to key clinical events to assess the plausibility of the missing-at-random (MAR) assumption underpinning MMRM analyses. High attrition rates — particularly differential attrition between arms — are among the most common reasons FDA and EMA express scepticism about PRO findings in oncology submissions. Attrition should be presented in CONSORT-style flow diagrams and summarised as an attrition table by visit and arm in regulatory submissions.","Differential attrition between treatment arms is one of the most serious threats to the internal validity of PRO comparative analyses, as it can systematically bias TTD, mean score, and responder proportion estimates. An AI agent must assess attrition rates, reasons, and differential patterns before attributing credibility to PRO treatment comparisons.",Attrition | Patient dropout | Dropout | Study withdrawal | PRO dropout | Loss to follow-up | Longitudinal attrition | Missing participants | Non-completion | Participant loss | Differential attrition | Informative dropout | Non-random dropout | Death-related attrition,"Differential attrition was identified as a potential bias source: by week 32, 38% of control arm patients had discontinued PRO assessments compared with 19% in the experimental arm, with disease progression the primary reason in both arms, raising concern about informative dropout in the MMRM analysis.",FDA Guidance for Industry: Missing Data in Clinical Trials (2019) [GUIDANCE] | NRC Report on Prevention and Treatment of Missing Data (2010) [GUIDANCE] | Bell ML et al. 2013 (BMJ)
32,Compliance Rate,None,PRO methodology,The proportion of all scheduled PRO assessments completed across all enrolled patients and all planned timepoints.,"Compliance rate is a summary metric representing the overall proportion of scheduled PRO assessments completed across all patients and timepoints in a trial, typically expressed as a percentage and reported by treatment arm. It aggregates completion across all visits and is therefore a less granular measure than per-timepoint completion rate, potentially masking visit-specific drops in data quality. Compliance encompasses both item-level completion (all items in the questionnaire answered) and visit-level completion (the questionnaire returned at the correct assessment window). In regulatory submissions, compliance rates are reported alongside completion rates to give reviewers a comprehensive picture of PRO data quality. A compliance rate above 80% overall, combined with per-timepoint completion rates above 80% at the primary assessment window, is generally considered acceptable by FDA and EMA for confirmatory PRO analysis.",Overall compliance rate is a headline data quality indicator that regulators use to make an initial assessment of PRO dataset reliability; rates below 80% may lead reviewers to question whether the dataset can support a labelling claim. An AI agent should distinguish compliance rate from completion rate and flag discrepancies that suggest particular visit windows were problematic.,Compliance rate | PRO compliance | Assessment compliance | Questionnaire compliance | Overall completion rate | Adherence rate (PRO) | Item response rate | Protocol adherence (PRO) | Data capture rate | Assessment adherence | PRO adherence,"Overall PRO compliance was 87% in the experimental arm and 83% in the control arm across all scheduled assessments from baseline to week 48, with both arms meeting the pre-specified acceptability threshold of ≥80% required to conduct the primary confirmatory PRO analysis.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Efficace F et al. 2014 (J Clin Oncol) | Common usage in regulatory literature
33,Missing Data,None,PRO methodology,"PRO score observations that were scheduled but not collected, regardless of the reason for non-collection.","Missing data in PRO research refers to any scheduled PRO assessment or individual item response that was not collected from an eligible patient, encompassing item-level missingness (individual questions skipped), visit-level missingness (entire questionnaire not returned at a scheduled visit), and patient-level missingness (all data absent from a specific timepoint onwards). The missing data mechanism is classified as missing completely at random (MCAR), missing at random (MAR), or missing not at random (MNAR), with MNAR — where missingness is related to the unobserved outcome value itself — posing the greatest threat to validity and being the most plausible scenario in progressive oncology. FDA's 2019 missing data guidance requires sponsors to specify a primary analysis method under an explicitly stated missing data assumption, supplemented by pre-planned sensitivity analyses under alternative assumptions (e.g., MNAR delta-adjustment or tipping-point analysis). High rates of missing data — particularly when differential between arms and plausibly MNAR — are the leading reason FDA reviewers downgrade PRO evidence from confirmatory to supportive. In multiple myeloma, death and disease progression are major drivers of missing PRO data and must be handled explicitly in the estimand specification.","Missing PRO data is the single most consequential data quality problem in regulatory PRO submissions, as it threatens the validity of all longitudinal analyses under any analytic approach. An AI agent must characterise the extent, pattern, mechanism plausibility, and handling of missing data for every PRO endpoint before assigning evidentiary weight.",Missing data | Missing PRO data | Missing observations | Lost data | Absent data | MCAR | MAR | MNAR | Missing at random | Missing not at random | Missing completely at random | Informative missingness | Non-ignorable missingness | Item non-response | Visit non-response | Dropout-related missingness | Intercurrent event | Death-related missing data,"A tipping point sensitivity analysis demonstrated that the primary MMRM result for global health status TTD remained statistically significant unless the unobserved outcomes of patients with missing data in the experimental arm were assumed to be at least 18 points worse than observed, a scenario considered implausible given the clinical context.",FDA Guidance for Industry: Missing Data in Clinical Trials (2019) [GUIDANCE] | ICH E9(R1) Addendum on Estimands (2019) [GUIDANCE] | NRC Report on Prevention and Treatment of Missing Data (2010) [GUIDANCE]
34,Data Granularity,None,PRO methodology,"The level of detail and resolution at which PRO data are collected, stored, and analysed.","Data granularity in PRO research refers to the resolution at which data are captured across three dimensions: item level (individual question responses preserved separately), subscale level (items aggregated into domain scores), and total/global score level (full instrument summary). High granularity means retaining item-level data, enabling reconstruction of any scoring algorithm, investigation of differential item functioning, and post-hoc score recalculation if scoring conventions change. Regulatory submissions should ideally include item-level PRO data in clinical data repositories so that FDA or EMA reviewers can independently verify score calculations and explore alternative analyses. Temporal granularity — the frequency of PRO assessment — is equally important: daily electronic diary data provide higher resolution symptom trajectories than monthly clinic-visit questionnaires but introduce compliance and burden challenges. In multiple myeloma, data granularity considerations affect whether symptom dynamics during treatment cycles can be detected and whether worsening during treatment can be distinguished from post-discontinuation deterioration.","Data granularity determines what analyses are possible post-hoc and how transparently PRO findings can be audited by regulators; item-level data retention is increasingly expected in regulatory submissions to support independent score verification. An AI agent must assess whether data are available at sufficient granularity to support the analyses claimed, particularly when reviewing integrated summaries or meta-analyses.",Data granularity | Item-level data | Item-level PRO | Raw PRO data | PRO data resolution | Scoring granularity | Assessment frequency | Temporal resolution | Daily diary data | ePRO granularity | PRO data detail | Level of aggregation | PRO data structure | Disaggregated data,"The sponsor retained item-level EORTC QLQ-C30 response data in the CDISC CDASH dataset, enabling FDA reviewers to independently recalculate all subscale scores and verify the accuracy of the MID-based deterioration event definitions applied in the primary TTD analysis.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | CDISC CDASH Implementation Guide [GUIDANCE] | Common usage in regulatory literature
35,Clinical Meaningfulness,None,PRO methodology,"The property of a PRO finding that exceeds the MID and represents a perceptible, practically significant change for patients.","Clinical meaningfulness is the determination that an observed PRO score change or treatment difference is large enough to be noticeable to patients and relevant to their daily functioning, well-being, or clinical management decisions — operationalised by exceeding a validated MID threshold. It is conceptually and analytically distinct from statistical significance: large trials can produce statistically significant PRO differences that fall below the MID and are therefore not clinically meaningful, while small trials may show clinically meaningful changes that fail to achieve significance due to insufficient power. Regulatory agencies require sponsors to explicitly demonstrate clinical meaningfulness — not merely statistical significance — before granting PRO-based labelling claims, typically by anchoring observed effects to validated, population-specific MIDs. Clinical meaningfulness must be assessed separately for group-mean differences (does the average treatment effect exceed the MID?), responder proportions (what percentage of patients achieved a meaningful individual change?), and time-to-event analyses (does the HR translate to a clinically meaningful delay in deterioration?). In multiple myeloma submissions, FDA reviewers routinely cross-reference reported PRO differences against published MIDs for EORTC QLQ-C30 subscales, FACT-MM, and BPI-SF.","Clinical meaningfulness is the bridge between statistical PRO results and regulatory acceptability for labelling claims; statistically significant but clinically trivial PRO differences are routinely rejected as a basis for labelling. An AI agent must apply MID-based thresholds to every PRO treatment difference and explicitly flag findings where significance is achieved without meaningfulness, or vice versa.",Clinical meaningfulness | Clinically meaningful | Clinically meaningful change | Clinical significance | Patient-meaningful change | Meaningful treatment difference | MID-exceeding difference | Clinically important difference | Substantial benefit | Perceived benefit | Real-world relevance | Practical significance | Clinically relevant change,"Although the MMRM analysis demonstrated a statistically significant mean difference of 4.1 points in EORTC QLQ-C30 physical functioning (p=0.03), the sponsor acknowledged this fell below the published 10-point MID for the myeloma population and therefore did not characterise the finding as clinically meaningful in the regulatory submission.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Revicki DA et al. 2008 (Health Qual Life Outcomes) | Osoba D et al. 1998 (J Clin Oncol)
36,Statistical Significance vs Clinical Significance,None,PRO methodology,The distinction between a PRO finding unlikely due to chance alone versus one that meaningfully matters to patients.,"Statistical significance indicates that an observed PRO treatment difference is unlikely to have arisen by chance under the null hypothesis, as determined by a p-value falling below a pre-specified alpha threshold; it is a function of both the true effect size and the sample size. Clinical significance — or clinical meaningfulness — indicates that the observed difference meets or exceeds the MID and therefore represents a change that patients perceive and that has practical implications for their well-being or care decisions. The two concepts are independent: large trials can produce statistically significant but clinically trivial PRO effects, while small trials may yield clinically meaningful differences that fail to reach statistical significance. Regulatory agencies explicitly require both thresholds to be met for PRO-based labelling claims — statistical significance establishes that the effect is real, while clinical significance establishes that it matters. Reporting only p-values without reference to MIDs is a recognised deficiency in PRO submissions and a common agency query.","The statistical vs. clinical significance distinction is one of the most common sources of misinterpretation in PRO regulatory documents. An AI agent must apply both criteria simultaneously to every PRO treatment difference and flag findings where only one criterion is satisfied, as this directly determines whether a finding can support a labelling claim.",Statistical significance vs clinical significance | Statistical vs clinical meaning | p-value vs MID | Significance vs meaningfulness | Clinical relevance vs statistical significance | Statistically significant but not clinically meaningful | Clinically meaningful but not statistically significant | Dual threshold | Two-threshold framework | Effect size vs p-value,"The independent data monitoring committee noted that the 3.8-point improvement in EORTC QLQ-C30 global health status, while statistically significant (p=0.04), did not meet the pre-specified 10-point MID threshold, and recommended the finding be characterised as statistically significant but not clinically meaningful in the submission.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Revicki DA et al. 2008 (Health Qual Life Outcomes) | Jaeschke R et al. 1989 (Control Clin Trials)
37,Patient Burden,None,Clinical concept,"The collective physical, emotional, financial, and time demands that disease and treatment place on a patient.","Patient burden encompasses the totality of demands, impacts, and costs experienced by a patient as a result of their disease and its treatment, including physical symptoms, treatment-related side effects, emotional distress, financial strain, time costs of care attendance, and impacts on social and occupational functioning. In clinical trials, patient burden is a multidimensional PRO-relevant construct that encompasses both disease burden (arising from the malignancy itself) and treatment burden (arising from drug administration, monitoring, and management of adverse effects). High patient burden in multiple myeloma — driven by bone pain, fatigue, neuropathy, and the logistical demands of complex regimens — makes PRO assessment essential to characterising the full benefit-risk profile of new therapies. Patient burden also encompasses the burden of PRO data collection itself: lengthy, frequent questionnaires contribute to assessment fatigue, reduced compliance, and increased attrition, requiring careful instrument selection. Minimising patient burden in PRO data collection while maintaining data quality is a recognised challenge in myeloma trial design.",Patient burden motivates the inclusion of PRO endpoints in oncology trials and defines the scope of patient experience that PRO instruments must capture. An AI agent should recognise patient burden as the overarching clinical rationale for PRO assessment and flag whether the instruments selected adequately capture its key dimensions for the target population.,Patient burden | Disease burden | Treatment burden | Symptom burden | Side effect burden | Toxicity burden | Functional burden | Caregiver burden | Patient load | Financial toxicity | Time burden | Total burden | Cumulative burden | Illness burden,"The trial incorporated a patient burden assessment strategy using the EORTC QLQ-C30 and QLQ-MY20 to capture both disease-related symptoms (bone pain, disease symptoms subscale) and treatment-related impacts (side effects subscale), reflecting the multidimensional patient burden profile of relapsed/refractory multiple myeloma.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | EMA Appendix 2 to the Guideline on the Evaluation of Anticancer Medicinal Products in Man (2016) [GUIDANCE] | Osborne TR et al. 2012 (BMC Cancer)
38,Symptom Burden,None,Clinical concept,"The cumulative severity, frequency, and functional impact of all symptoms experienced by a patient at a given time.","Symptom burden refers to the aggregate impact of all symptoms — both disease-related and treatment-related — on a patient's functioning and well-being at a specific point in time, encompassing symptom severity, frequency, distress, and the degree to which symptoms interfere with daily activities. In multiple myeloma, the primary symptom burden components include bone pain, fatigue, peripheral neuropathy (often treatment-induced), dyspnoea, infections, and cognitive impairment, each of which may be targeted by specific PRO instrument subscales. Symptom burden is distinct from a single-symptom assessment (e.g., pain alone) and from broader HRQoL constructs, which additionally include functioning and global well-being beyond symptoms. PRO instruments used to assess symptom burden in myeloma include the EORTC QLQ-C30 symptom scales, QLQ-MY20 disease symptoms and side effects subscales, and the BPI-SF for pain-specific burden. Regulatory submissions should characterise whether a treatment reduces, preserves, or exacerbates overall symptom burden, as this directly informs benefit-risk assessment.",Symptom burden is a primary driver of PRO instrument selection and domain prioritisation in oncology trials; treatments that achieve survival benefit while worsening symptom burden present a complex benefit-risk profile requiring PRO evidence to resolve. An AI agent must map symptom burden domains to specific instrument subscales and flag whether the PRO programme adequately captures the disease's known symptom profile.,Symptom burden | Symptom load | Symptom severity | Symptom profile | Total symptom score | Disease symptom burden | Treatment-related symptom burden | Adverse symptom impact | Symptom cluster | Multi-symptom burden | Symptom interference | Myeloma symptom burden | Pain burden | Fatigue burden,"At baseline, patients in both arms reported high symptom burden as reflected by mean EORTC QLQ-MY20 disease symptoms subscale scores of 38.4 and 39.1 respectively (scale 0–100, higher = worse), consistent with the substantial symptom burden characteristic of second-line relapsed/refractory multiple myeloma.",EORTC QLQ-MY20 Scoring Manual | Cocks K et al. 2011 (Eur J Cancer) | Osborne TR et al. 2012 (BMC Cancer)
39,Baseline Assessment,None,Trial design,"The PRO measurement taken prior to treatment initiation, used as the reference point for all subsequent change calculations.","The baseline assessment is the PRO measurement conducted before a patient receives any study treatment, serving as the reference value against which all subsequent score changes are calculated and against which deterioration or improvement events are defined. Baseline PRO scores are a mandatory covariate in MMRM analyses and a key input for individual-level change-from-baseline calculations used in responder analyses and TTD event determination. The timing, window, and conditions of baseline assessment must be prespecified in the protocol — typically within a defined number of days before the first dose — to ensure comparability across patients and between treatment arms. Imbalances in baseline PRO scores between randomised arms can confound treatment comparisons and should be assessed and reported; MMRM inherently adjusts for baseline as a covariate, partially mitigating this risk. In multiple myeloma trials, baseline symptom burden is typically high, and baseline scores on pain, fatigue, and global health status provide essential context for interpreting the magnitude of subsequent treatment-related changes.","Baseline assessment quality directly determines the validity of all change-from-baseline PRO analyses; missing or poorly timed baseline data can invalidate entire PRO evidence packages. An AI agent must verify that baseline PRO data were collected pre-dose, have high completion rates, and show arm balance before treating subsequent change analyses as credible.",Baseline assessment | Baseline PRO | Baseline measurement | Pre-treatment assessment | Pre-dose assessment | Study entry assessment | Screening PRO | Baseline score | Reference assessment | Baseline value | Anchor measurement | Pre-randomisation PRO | Day 1 assessment | Time zero assessment,"Baseline PRO assessments were completed by 97% of randomised patients within 3 days prior to Cycle 1 Day 1 dosing; mean EORTC QLQ-C30 global health status scores were 51.2 and 52.0 in the experimental and control arms respectively, confirming arm balance at study entry.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | Common usage in regulatory literature
40,Double-blind,None,Trial design,A trial design in which neither patients nor investigators know treatment allocation during the study.,"In a double-blind trial, both the patient and the clinical investigators — including those administering treatment, collecting data, and assessing outcomes — are masked to treatment assignment throughout the study period, preventing knowledge of allocation from influencing behaviour, data collection, or outcome assessment. Double-blinding is the gold standard for minimising performance bias and detection bias in clinical trials, and is particularly important for PRO endpoints because patient-reported scores are inherently susceptible to expectation effects — patients who know they are receiving an experimental therapy may report improved symptoms independent of pharmacological effect. Regulatory agencies prefer double-blind designs for confirmatory PRO endpoints, and unblinded designs are expected to prompt additional scrutiny of PRO data credibility. Maintaining blinding in oncology trials can be challenging due to recognisable toxicity profiles (e.g., peripheral neuropathy with bortezomib, alopecia with certain regimens), and sponsors must assess the success of blinding in submissions. In multiple myeloma, many combination regimens differ in administration route and schedule, making true double-blinding logistically complex and sometimes requiring double-dummy designs.",Double-blinding is critical for PRO validity because patient self-reports are highly susceptible to expectation bias; unblinded PRO data are consistently viewed with greater scepticism by regulatory reviewers. An AI agent must flag the blinding status of a trial as a primary quality modifier when assessing the credibility of PRO treatment comparisons.,Double-blind | Double-blinded | Double-masked | Double-dummy | Blinded trial | Blinded PRO | Masked allocation | Allocation concealment (related) | Blind assessment | Blinding success | Unblinding event,"The double-blind, double-dummy design ensured that patients receiving oral versus intravenous study drug were indistinguishable with respect to administration schedule and appearance, preserving blinding integrity for PRO assessment and minimising expectation bias in patient-reported symptom scores.",ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Schulz KF & Grimes DA 2002 (Lancet)
41,Open-label,None,Trial design,A trial design in which both patients and investigators are aware of treatment allocation throughout the study.,"In an open-label trial, treatment assignment is known to both the patient and the clinical team throughout the study, eliminating any masking of allocation. Open-label designs are common in oncology when blinding is impractical — for example when comparing distinct administration routes (oral vs. intravenous), different treatment schedules, or active therapies with recognisable toxicity profiles. For PRO endpoints, open-label designs introduce substantial risk of performance bias (patients and clinicians modify behaviour based on known treatment) and reporting bias (patients may rate symptoms more positively or negatively based on treatment expectation). FDA and EMA treat PRO data from open-label trials with heightened scepticism and may require additional justification, sensitivity analyses, or corroborating evidence from blinded assessments before granting PRO-based labelling claims. Sponsors conducting open-label trials with PRO endpoints should implement mitigation strategies such as centralised electronic PRO collection, standardised completion instructions, and independence of PRO assessment from clinical visits.","Open-label trial design is a major risk modifier for PRO data credibility, as expectation and performance biases can substantially inflate or deflate treatment differences in self-reported outcomes. An AI agent must flag open-label design as a primary caveat when evaluating PRO findings and downweight their evidentiary status relative to double-blind comparisons.",Open-label | Open label | Unblinded | Unmasked | Open-label trial | Open-label study | OLE | Open-label extension | Non-blinded | Unblinded PRO | Open-label PRO | Single-blind (partially related),"In the open-label phase III trial, PRO analyses were considered supportive rather than confirmatory, as FDA reviewers noted the potential for reporting bias in patient-reported pain and fatigue scores given that patients in the experimental arm were aware they were receiving the novel immunotherapy combination.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | EMA Reflection Paper on Methodological Issues in PRO Endpoints in Oncology [GUIDANCE] | Wood L et al. 2008 (BMJ)
42,Intention-to-Treat Population,ITT,Trial design,All randomised patients analysed in their assigned treatment group regardless of protocol adherence or treatment received.,"The intention-to-treat (ITT) population comprises all patients who were randomised in a trial, analysed according to their randomly assigned treatment group irrespective of whether they received the intended treatment, completed the study, or adhered to the protocol. The ITT principle preserves the prognostic balance achieved by randomisation, prevents selection bias introduced by excluding non-compliant patients, and provides an estimate of treatment effectiveness in real-world conditions where non-adherence occurs. For PRO analyses, the ITT population is the preferred analytic set for primary efficacy analyses, as deviations from ITT can introduce systematic bias. A modified ITT (mITT) population — typically excluding patients without any post-baseline PRO data — is sometimes used as a practical compromise, but must be pre-specified and justified. In multiple myeloma trials, ITT PRO analyses must contend with patients who were randomised but died, progressed rapidly, or never began study treatment, requiring careful estimand specification under ICH E9(R1) for how such intercurrent events are handled.",ITT is the primary population for confirmatory PRO analyses and the standard against which regulatory agencies assess whether PRO results are free from selection bias. An AI agent must verify that primary PRO analyses use the ITT or mITT population and flag any deviations from this principle as a potential source of bias.,ITT | Intention-to-treat | Intent-to-treat | Full analysis set | FAS | mITT | Modified ITT | Modified intention-to-treat | Randomised population | All-randomised population | Randomised analysis set | ITT population | As-randomised analysis,"The primary PRO analysis used the full analysis set (FAS), defined as all randomised patients with a baseline and at least one post-baseline EORTC QLQ-C30 assessment, which included 96% of the ITT population; sensitivity analyses on the complete ITT population using multiple imputation yielded consistent results.",ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | ICH E9(R1) Addendum on Estimands (2019) [GUIDANCE] | FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE]
43,Per Protocol Population,PP,Trial design,The subset of ITT patients who completed the trial substantially in accordance with the protocol without major deviations.,"The per-protocol (PP) population is a subset of the ITT population restricted to patients who completed the trial with adequate adherence to the protocol, including receipt of the assigned treatment for a minimum duration, completion of key PRO assessments, and absence of major protocol deviations that would invalidate their data. PP analyses estimate the efficacy of treatment under ideal adherence conditions — the pharmacological or biological treatment effect when the intervention is taken as intended — in contrast to the ITT analysis, which estimates effectiveness under real-world conditions. For PRO endpoints, PP analyses are typically used as sensitivity analyses rather than primary analyses, as restricting to protocol-adherent patients can introduce selection bias by excluding those who discontinued due to toxicity or progression — precisely the patients with the most negative PRO outcomes. Regulatory agencies view PP PRO analyses as supportive of, but not superior to, ITT analyses, unless the PP and ITT analyses are concordant. Discordant ITT and PP PRO results often signal informative dropout and warrant investigation.",PP analyses provide a sensitivity check on ITT PRO findings but are not preferred for primary regulatory analyses because they systematically exclude patients who discontinued — often those with the worst PRO trajectories. An AI agent should use PP versus ITT concordance as a diagnostic flag for informative dropout bias.,Per protocol | Per-protocol population | PP population | Evaluable population | Efficacy evaluable population | Compliant population | Protocol-adherent population | Valid cases analysis | Per protocol analysis | PP set | Modified PP | Completers analysis,"In the per-protocol sensitivity analysis, which excluded 12% of ITT patients with major protocol deviations including premature treatment discontinuation unrelated to adverse events, the TTD HR of 0.69 was consistent with the primary ITT result of 0.71, supporting the robustness of the confirmatory PRO finding.",ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Common usage in regulatory literature
44,Stratification,None,Trial design,The pre-randomisation grouping of patients by prognostic factors to ensure balance across treatment arms.,"Stratification is a trial design technique in which patients are grouped — or stratified — according to key prognostic or predictive variables prior to randomisation, with separate randomisation lists applied within each stratum to ensure balanced distribution of those variables across treatment arms. Common stratification factors in multiple myeloma trials include number of prior lines of therapy, cytogenetic risk status (standard vs. high-risk, e.g., del17p, t(4;14)), geographic region, and ECOG performance status. Stratification reduces the risk that chance imbalances in important prognostic factors will confound treatment comparisons, and stratification factors must be included as covariates in primary statistical analyses (including MMRM for PRO endpoints) to maintain analytical consistency with the design. For PRO analyses, stratification by ECOG performance status or baseline symptom burden is particularly valuable, as these factors are strong predictors of PRO trajectory and can confound unadjusted treatment comparisons. Failure to include stratification factors in PRO statistical models is an inconsistency between study design and analysis that regulatory agencies routinely query.",Stratification protects PRO treatment comparisons from confounding by prognostic factors that strongly predict baseline symptom burden and PRO trajectory; inconsistency between stratification factors and analytical covariates in MMRM or Cox models is a common regulatory deficiency. An AI agent must verify that all prespecified stratification factors are included as covariates in primary PRO analyses.,Stratification | Stratified randomisation | Stratification factors | Stratified analysis | Stratification variable | Prognostic stratification | Minimisation | Adaptive stratification | Balance factor | Stratum | Pre-stratification | Stratified randomisation list | Block randomisation within strata,"Randomisation was stratified by number of prior lines of therapy (1–2 vs. ≥3), cytogenetic risk (standard vs. high-risk), and ECOG performance status (0–1 vs. 2); all three stratification factors were included as covariates in the primary MMRM analysis of EORTC QLQ-C30 global health status, consistent with the prespecified SAP.",ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Taves DR 1974 (Clin Pharmacol Ther)
