DD_ID,Column_Name,Sheet,Column_Type,Controlled_Values,Definition,Null_Handling,Example,Notes
15,Indication_Biomarker_Required_FDA,Sheet 1 — Drugs,Free text,See Definition,"Required biomarker or companion diagnostic for FDA indication. Enter ""None"" if not required.",N/A if not FDA approved,PD-L1 expression (TPS >= 1%),None
16,Indication_Stage_Setting,Sheet 1 — Drugs,Pipe-delimited list,See Definition; multiple values are separated by pipes,"Specific line of therapy, stage, and clinical setting for EMA-approved indications.",N/A if not EMA approved,Monotherapy | Relapsed/Refractory,None
17,Indication_Biomarker_Required,Sheet 1 — Drugs,Free text,See Definition,"Required biomarker or companion diagnostic for EMA indication. Enter ""None"" if not required.",N/A if not EMA approved,ALK-positive,None
18,FDA_Has_PRO_Data,Sheet 1 — Drugs,Boolean,Yes | No | Not reported,Indicates if FDA regulatory review or label includes Patient-Reported Outcome data.,Not reported,Yes,None
19,EMA_Has_PRO_Data,Sheet 1 — Drugs,Boolean,Yes | No | Not reported,Indicates if EMA regulatory review (EPAR) or label includes Patient-Reported Outcome data.,Not reported,Yes,None
20,Any_Trial_Has_PRO,Sheet 1 — Drugs,Boolean,Yes | No | Not reported,"Indicates if any clinical trial associated with this drug collected PRO data, regardless of label inclusion.",Not reported,Yes,None
21,PRO_Instruments_Found_FDA,Sheet 1 — Drugs,Pipe-delimited list,See Definition; multiple values are separated by pipes,"Instrument names only (e.g., EORTC QLQ-C30) found in FDA documents. Use ""None"" if none; ""Not specified"" if unknown.",N/A,EORTC QLQ-C30 | EQ-5D-5L,None
22,PRO_type_FDA,Sheet 1 — Drugs,Pipe-delimited list,Pain | Fatigue | Dyspnea | Cough | HRQoL | Symptom burden | Disease-specific symptoms | Patient preference | Opioid use | Physical function | Global health status | Utility | Safety/tolerability | None | Not specified; multiple values are separated by pipes,Categorization of concepts measured by PRO instruments in FDA reviews.,N/A,HRQoL | Symptom burden,None
23,PRO_Instruments_Found_EMA,Sheet 1 — Drugs,Pipe-delimited list,See Definition; multiple values are separated by pipes,"Instrument names only found in EMA documents. Use ""None"" if none; ""Not specified"" if unknown.",N/A,FACIT-Fatigue,None
24,PRO_type_EMA,Sheet 1 — Drugs,Pipe-delimited list,Pain | Fatigue | Dyspnea | Cough | HRQoL | Symptom burden | Disease-specific symptoms | Patient preference | Opioid use | Physical function | Global health status | Utility | Safety/tolerability | None | Not specified; multiple values are separated by pipes,Categorization of concepts measured by PRO instruments in EMA reviews.,N/A,Fatigue | Physical function,None
25,FDA_Label_URL,Sheet 1 — Drugs,URL,See Definition,Direct link to the most recent FDA approved drug label for source verification.,Not reported,https://www.accessdata.fda.gov/,None
26,EMA_Label_URL,Sheet 1 — Drugs,URL,See Definition,Direct link to the EMA product information page or EPAR summary.,Not reported,https://www.ema.europa.eu/,None
27,Notes,Sheet 1 — Drugs,Free text,See Definition,"Regulatory differences, special PRO notes, or KG linking details not captured elsewhere.",Leave blank,EMA restricted use to 2nd line.,None
28,Trial_ID,Sheet 2 — Trials,ID/Key,See Definition,Unique identifier for the clinical trial within the knowledge graph. Used to link drugs to specific evidence sets and regulatory filings.,Leave blank,TRIAL-102,Primary key for Trial-level data.
29,Drug_ID,Sheet 2 — Trials,ID/Key,See Definition,Foreign key linking the trial to the specific therapeutic agent in the Drugs sheet. Matches Drug_ID from Sheet 1.,Leave blank,DRUG-001,Used to join Sheet 1 and Sheet 2.
30,Generic_Name,Sheet 2 — Trials,Free text,See Definition,The non-proprietary name of the drug investigated in the trial. Must match the Generic_Name in the Drugs sheet for entity consistency.,Not reported,Pembrolizumab,None
31,Pivotal_Trial_Name,Sheet 2 — Trials,Free text,See Definition,The official name or acronym of the trial as cited in regulatory documents. Often used as the primary label for the trial in KG queries.,Not reported,KEYNOTE-006,None
32,Is_MM,Sheet 2 — Trials,Controlled vocabulary,Yes | No | Not reported,"Indicates if the trial specifically investigates a treatment for Multiple Myeloma. Use ""No"" for all other diseases regardless of the specific cancer type.",Not reported,No,None
33,Mentioned_In_FDA_Label,Sheet 2 — Trials,Boolean,Yes | No | Not reported,Indicates if this specific trial is cited in the FDA clinical studies section of the drug label.,Not reported,Yes,None
34,Mentioned_In_EMA_Label,Sheet 2 — Trials,Controlled vocabulary,Yes | No | N/A (not submitted to EMA) | Not reported,Indicates if this trial is cited in the EMA Summary of Product Characteristics (SmPC) or EPAR.,Not reported,Yes,None
35,Trial_NCT_ID,Sheet 2 — Trials,ID/Key,See Definition,The unique identifier assigned by ClinicalTrials.gov. Vital for linking the KG to external public clinical trial registries.,Not reported,NCT01866319,None
36,Trial_Role_For_Product,Sheet 2 — Trials,Controlled vocabulary,Pivotal | Supportive | Exploratory | Not reported,"Defines the clinical weight of the trial in the drug's regulatory package. Context like ""Phase 3"" or ""Historical"" must be placed in Notes.",Not reported,Pivotal,None
37,Trial_Purpose_Type,Sheet 2 — Trials,Controlled vocabulary,Efficacy and safety | Safety only | PK/PD | HRQoL | Biomarker | Not reported,"The primary objective of the study as designed. Most regulatory trials for oncology drugs will be ""Efficacy and safety"".",Not reported,Efficacy and safety,None
38,Trial_Phase,Sheet 2 — Trials,Controlled vocabulary,Phase 1 | Phase 1/2 | Phase 2 | Phase 2/3 | Phase 3 | Phase 4 | Not reported,"The clinical phase of development. Normalize numeric entries (e.g., ""3"" to ""Phase 3"") and combined phases (e.g., ""12"" to ""Phase 1/2"").",Not reported,Phase 3,None
39,Trial_Blinding,Sheet 2 — Trials,Controlled vocabulary,Double-blind | Single-blind | Open-label | Not reported,The level of masking used in the study to prevent bias. Populated from the study design section of the protocol or label.,Not reported,Open-label,None
40,Trial_Randomization,Sheet 2 — Trials,Controlled vocabulary,Yes (Randomized) | No (Non-randomized) | Not reported,Indicates if participants were assigned to study arms using a randomization process.,Not reported,Yes (Randomized),None
41,Trial_Randomization_Ratio,Sheet 2 — Trials,Free text,See Definition,"The ratio used for participant assignment to study arms. Enter ""Not applicable"" for non-randomized single-arm studies.",Not reported,1:1,None
42,Trial_Study_Type,Sheet 2 — Trials,Controlled vocabulary,Interventional | Observational | Expanded access | Not reported,"The high-level study design category. Most regulatory submissions will be ""Interventional"".",Not reported,Interventional,None
43,Trial_Enrollment_Total,Sheet 2 — Trials,Numeric,See Definition,"The total number of patients enrolled/randomized in the trial as an integer. Use ""Not reported"" if the final N is unknown.",Not reported,834,None
44,Trial_Patient_Population,Sheet 2 — Trials,Free text,See Definition,"Brief description of the trial participants, including disease state and prior treatment history.",Not reported,Unresectable or metastatic melanoma,None
45,Trial_Key_Inclusion_Criteria,Sheet 2 — Trials,Free text,See Definition,Summary of the primary criteria required for trial entry. Focus on disease stage and molecular markers.,Not reported,Histologically confirmed Stage III or IV melanoma,None
46,Trial_Key_Exclusion_Criteria,Sheet 2 — Trials,Free text,See Definition,Summary of criteria that disqualified patients from the trial. Focus on comorbidities or prior specific therapies.,Not reported,Active autoimmune disease,None
47,Trial_Comparator,Sheet 2 — Trials,Free text,See Definition,"The control arm used in the trial. Identify if it was placebo, active control, or standard of care.",Not reported,Ipilimumab,None
48,Trial_Primary_Endpoint,Sheet 2 — Trials,Free text,See Definition,The main outcome measure used to evaluate the trial's success.,Not reported,Progression-free survival (PFS),None
49,Trial_Primary_Endpoint_Met,Sheet 2 — Trials,Controlled vocabulary,Yes | No | Partial | Not reported,Indicates if the trial achieved statistical significance for its primary endpoint(s).,Not reported,Yes,None
50,Trial_Primary_Endpoint_Result,Sheet 2 — Trials,Free text,See Definition,"The numerical result for the primary endpoint, such as Hazard Ratio (HR) or median months.",Not reported,HR 0.58; 95% CI: 0.46-0.72,None
51,Trial_Secondary_Endpoints,Sheet 2 — Trials,Free text,See Definition,List of all other endpoints measured in the trial as specified in the protocol.,Not reported,"Overall survival, ORR, Duration of response",None
52,Trial_Key_Secondary_Endpoint,Sheet 2 — Trials,Free text,See Definition,The specific secondary endpoint given the most weight in regulatory discussions (often Overall Survival).,Not reported,Overall survival (OS),None
53,PRO_Assessed_In_Trial,Sheet 2 — Trials,Boolean,Yes | No | Not reported,Flag indicating if Patient-Reported Outcomes were measured at any point during the trial.,Not reported,Yes,None
54,PRO_Endpoint_Position,Sheet 2 — Trials,Controlled vocabulary,Primary | Secondary | Exploratory | N/A | Not reported,"The hierarchical position of PROs in the trial's endpoint strategy. Use ""N/A"" if PRO_Assessed_In_Trial is No.",Not reported,Secondary,None
55,PRO_Prespecified,Sheet 2 — Trials,Controlled vocabulary,Yes | No (post-hoc) | Exploratory | N/A | Not reported,Indicates if the PRO analysis plan was defined prior to data unblinding.,Not reported,Yes,None
56,PRO_MID_Defined,Sheet 2 — Trials,Controlled vocabulary,Yes | No | N/A | Not reported,Indicates if a Minimal Important Difference (MID) or Minimal Clinically Important Difference (MCID) was predefined for the PRO instruments.,Not reported,Yes,None
57,PRO_Instruments_Count,Sheet 2 — Trials,Numeric,See Definition,The total number of distinct PRO instruments used in the trial as an integer. Enter 0 if PROs were not assessed.,Not reported,2,None
58,PRO_Primary_Instrument,Sheet 2 — Trials,Free text,See Definition,"The main PRO tool used if one was prioritized, or the list of instruments if all were equal.",Not reported,EORTC QLQ-C30,None
59,PRO_Assessment_Schedule,Sheet 2 — Trials,Free text,See Definition,The timeline and frequency of PRO data collection. Important for assessing data density and potential for missingness.,Not reported,"Baseline, Week 6, Week 12, then Q12W",None
60,PRO_Sample_Size_Baseline,Sheet 2 — Trials,Free text,See Definition,The number of patients who completed the PRO assessment at the baseline visit.,Not reported,790,None
61,PRO_Completion_Rate_Baseline,Sheet 2 — Trials,Free text,See Definition,Record the percentage or proportion of baseline PRO completion exactly as reported in the source.,Not reported,0.95,None
62,PRO_Missing_Data_Rate,Sheet 2 — Trials,Free text,See Definition,The rate of missing PRO data over the course of the study or at specific milestones.,Not reported,Not reported exactly,None
63,PRO_Compliance_Rate,Sheet 2 — Trials,Free text,See Definition,The percentage of expected PRO forms actually completed by patients.,Not reported,≥0.8,None
64,PRO_Results_Reported,Sheet 2 — Trials,Controlled vocabulary,Yes | No | Partial | N/A | Not reported,Indicates if the PRO data findings have been publicly disclosed in labels or publications.,Not reported,Yes,None
65,Primary_Publication_DOI,Sheet 2 — Trials,Free text,See Definition,The Digital Object Identifier for the main trial publication. Facilitates direct lookup of source data.,Not reported,10.1056/NEJMoa1503093,None
66,Primary_Publication_Year,Sheet 2 — Trials,Numeric,See Definition,The 4-digit year the primary trial results were published.,Not reported,2015,None
67,Notes,Sheet 2 — Trials,Free text,See Definition,"Additional trial context, including specific PRO sub-domain results or regulatory nuances.",Leave blank,Significant improvement in HRQoL noted in EPAR but not FDA label.,None
68,Link_ID,Sheet 3 — Instruments,ID/Key,See Definition,"Unique composite identifier linking a specific trial to a specific instrument (e.g., TRIAL001INST01). Serves as the primary key for this sheet.",Leave blank,TRIAL_001_INST_01,None
69,Trial_ID,Sheet 3 — Instruments,ID/Key,See Definition,Foreign key linking to the Trial sheet. Used to identify which clinical study the instrument data belongs to.,Leave blank,TRIAL_102,None
70,Drug_ID,Sheet 3 — Instruments,ID/Key,See Definition,Foreign key linking to the Drugs sheet. Used to identify the therapeutic agent associated with these instrument results.,Leave blank,DRUG_001,None
71,Instrument_Name,Sheet 3 — Instruments,Free text,See Definition,"The formal name of the Patient-Reported Outcome tool used in the trial. Should be consistent with established instrument nomenclature (e.g., EORTC QLQ-C30).",Not reported,EORTC QLQ-C30,None
72,Instrument_Domain,Sheet 3 — Instruments,Controlled vocabulary,HRQoL | Symptom | Pain | Fatigue | Utility | Functional | Adverse event | Disease-specific symptoms | Mixed | Not reported,"The primary construct or area of health being measured by the instrument. If an instrument covers multiple areas equally, use ""Mixed"".",Not reported,HRQoL,None
73,Instrument_Subscales_Assessed,Sheet 3 — Instruments,Free text,See Definition,List of specific sub-domains or scales within the instrument that were analyzed and reported.,Not reported,Physical Functioning | Global Health Status,None
74,Key_Finding_Instrument,Sheet 3 — Instruments,Free text,See Definition,"A narrative summary of the main result for this instrument within the trial. Include whether the result was positive, negative, or neutral.",Not reported,Significant improvement in global health status vs comparator.,None
75,Instrument_Endpoint_Role,Sheet 3 — Instruments,Controlled vocabulary,Primary | Secondary | Exploratory | Not reported,"The hierarchical status of the instrument's findings within the trial's statistical hierarchy. Do not use a ""PRO"" suffix.",Not reported,Secondary,None
76,Direction,Sheet 3 — Instruments,Controlled vocabulary,Favours intervention | Favours control | No significant difference | Mixed | Not reported,Indicates which treatment arm showed better outcomes according to this specific instrument.,Not reported,Favours intervention,None
77,Clinically_Meaningful_MID_Met,Sheet 3 — Instruments,Controlled vocabulary,Yes | No | Partial | Not reported,Indicates if the observed change or difference between groups met the predefined Minimal Important Difference threshold.,Not reported,Yes,None
78,PRO_Significance_Category,Sheet 3 — Instruments,Controlled vocabulary,Significant (p<0.001) | Significant (p<0.01) | Significant (p<0.05) | Not significant | Partial | Not reported,Categorical classification of the statistical significance of the instrument's primary finding. Derived from raw p-values.,Not reported,Significant (p<0.01),None
79,PRO_P_Value,Sheet 3 — Instruments,Free text,See Definition,The exact p-value for the instrument's main finding as reported in the source document. Retains precision for meta-analysis.,Not reported,p=0.003,None
80,Effect_Size_Instrument,Sheet 3 — Instruments,Free text,See Definition,"The reported effect size (e.g., Cohen's d, Odds Ratio) for the instrument within the treatment group.",Not reported,0.45,None
81,Effect_Size_Difference_Instrument,Sheet 3 — Instruments,Free text,See Definition,The difference in effect sizes or the net treatment effect between the intervention and control arms.,Not reported,0.12,None
82,Subscale_Results_Instrument,Sheet 3 — Instruments,Free text,See Definition,Detailed results or scores for each individual subscale reported for the instrument.,Not reported,Physical Function (85 vs 70) | Fatigue (20 vs 35),None
83,Subscale_Significant_Instrument,Sheet 3 — Instruments,Free text,See Definition,List of specific subscales that reached statistical significance.,Not reported,Physical Functioning | Role Functioning,None
84,Subscale_Not_Significant_Instrument,Sheet 3 — Instruments,Free text,See Definition,List of specific subscales that failed to reach statistical significance.,Not reported,Emotional Functioning,None
85,Sample_Size_Baseline_Instrument,Sheet 3 — Instruments,Numeric,See Definition,The number of patients who completed this specific instrument at the baseline assessment. May be lower than Trial_Enrollment_Total.,Not reported,780,None
86,Completion_Rate_Baseline_Instrument,Sheet 3 — Instruments,Free text,See Definition,"The proportion of patients who completed this instrument at baseline. Record exactly as reported (e.g., 0.913).",Not reported,0.98,None
87,Missing_Data_Rate_Instrument,Sheet 3 — Instruments,Free text,See Definition,The reported rate of missing data specifically for this instrument over the study duration.,Not reported,<0.10,None
88,Compliance_Rate_Instrument,Sheet 3 — Instruments,Free text,See Definition,The compliance rate (actual vs. expected completions) for this specific instrument.,Not reported,0.85,None
89,Data_Granularity_Flag,Sheet 3 — Instruments,Controlled vocabulary,Aggregate | Subscale | Item-level | Mixed | Not reported,Indicates the level of detail available in the reported data for this instrument.,Not reported,Subscale,None
90,Review_ID,Sheet 4 — Regulatory Review,ID/Key,See Definition,"Unique identifier for the regulatory decision event. Primary key for this sheet, linking a specific agency's evaluation to a drug.",Leave blank,REV-FDA-001,None
91,Drug_ID,Sheet 4 — Regulatory Review,ID/Key,See Definition,Foreign key linking the review to the specific therapeutic agent in the Drugs sheet. Matches Drug_ID from Sheet 1.,Leave blank,DRUG-001,None
92,Review_Agency,Sheet 4 — Regulatory Review,Controlled vocabulary,FDA | EMA | Both | Not reported,"The regulatory body responsible for the review. Use ""Both"" only if a joint or simultaneous review document is being documented.",Not reported,FDA,None
93,Review_Date,Sheet 4 — Regulatory Review,Date,See Definition,The date the regulatory decision or summary basis of approval was issued. Use format YYYY-MM or YYYY.,Not reported,2024-05,None
94,Relevant_Trial_IDs,Sheet 4 — Regulatory Review,Pipe-delimited list,See Definition; multiple values are separated by pipes,The specific trial IDs from Sheet 2 that provided the PRO data under evaluation in this review.,Not reported,TRIAL-102 | TRIAL-105,None
95,PRO_Endpoint_Position_Reviewed,Sheet 4 — Regulatory Review,Controlled vocabulary,Primary | Secondary | Exploratory | Not reviewed | Not reported,The position of the PRO endpoint as perceived and analyzed by the regulator during the review process.,Not reported,Secondary,None
96,PRO_Decision,Sheet 4 — Regulatory Review,Controlled vocabulary,Approved | Rejected | Exploratory only | Not reviewed | Not reported,The final regulatory determination regarding the inclusion of PRO data in the official product labeling.,Not reported,Approved,None
97,PRO_Instruments_Reviewed,Sheet 4 — Regulatory Review,Pipe-delimited list,See Definition; multiple values are separated by pipes,"List of all PRO instruments that were formally evaluated by the agency during the review. Use ""None"" if no instruments were reviewed.",N/A,EORTC QLQ-C30 | MY20,None
98,PRO_Instruments_Accepted,Sheet 4 — Regulatory Review,Pipe-delimited list,See Definition; multiple values are separated by pipes,List of PRO instruments whose data was deemed robust enough for inclusion in the label or for supporting the benefit-risk case.,N/A,EORTC QLQ-C30,None
99,PRO_Instruments_Rejected,Sheet 4 — Regulatory Review,Pipe-delimited list,See Definition; multiple values are separated by pipes,List of PRO instruments whose data was reviewed but ultimately excluded from labeling or high-level summaries.,N/A,EQ-5D-5L,None
100,PRO_Claim_Type_Approved,Sheet 4 — Regulatory Review,Pipe-delimited list,Symptom improvement | Function improvement | HRQoL delay | Time to deterioration | Patient preference | None | Not reported; multiple values are separated by pipes,"The specific type of patient-centered claim allowed in the labeling. Use ""None"" if the decision was a rejection.",N/A,Symptom improvement | HRQoL delay,None
101,PRO_Approval_Reason,Sheet 4 — Regulatory Review,Free text,See Definition,"Narrative description of why the agency found the PRO data acceptable. Should include mentions of robustness, clinical relevance, or statistical significance.",N/A,Data supported a delayed time to deterioration in physical function that was clinically meaningful.,None
102,PRO_Rejection_Reason_Primary,Sheet 4 — Regulatory Review,Controlled vocabulary,No MID | Missing data | Exploratory endpoint | Post-hoc analysis | Not substantial evidence | No clinical meaningfulness | Single-arm study | Open-label design | Other | None | Not reported,"The high-level categorical reason for the non-acceptance of PRO data for labeling. Use ""None"" if approved.",N/A,Open-label design,None
103,PRO_Rejection_Reason_Detailed,Sheet 4 — Regulatory Review,Free text,See Definition,Verbatim or summarized text from the regulator explaining the specific deficiencies in the PRO submission.,N/A,The open-label nature of the trial introduced significant potential for bias in patient-reported assessments.,None
104,PRO_Missing_Data_Issue,Sheet 4 — Regulatory Review,Controlled vocabulary,No | Yes — partial (raised but accepted) | Yes — rejected (caused non-acceptance) | Not reported,Indicates if the regulator expressed concern regarding the volume or handling of missing PRO data.,Not reported,Yes — partial (raised but accepted),None
105,PRO_Alpha_Controlled,Sheet 4 — Regulatory Review,Controlled vocabulary,"Yes — alpha-controlled (prespecified, multiplicity-adjusted) | Partial — prespecified but unadjusted for multiplicity | Partial — hierarchical testing but PRO not in hierarchy | No — exploratory/post-hoc | Not reported",Specifies the level of statistical rigor and multiplicity adjustment applied to the PRO endpoints as reviewed by the agency.,Not reported,"Yes — alpha-controlled (prespecified, multiplicity-adjusted)",None
106,PRO_Prespecified,Sheet 4 — Regulatory Review,Controlled vocabulary,Yes | No (post-hoc) | Exploratory | Not reported,Indicates if the PRO analysis was predefined in the regulatory submission's statistical analysis plan.,Not reported,Yes,None
107,PRO_Label_Language_Final,Sheet 4 — Regulatory Review,Free text,See Definition,"The exact text regarding PRO findings that was included in the final approved label. Enter ""None"" if rejected.",N/A,A statistically significant delay in the time to deterioration was observed in the HRQoL score.,None
108,PRO_Label_Location,Sheet 4 — Regulatory Review,Controlled vocabulary,Section 14 Clinical Studies | Section 5.1 Pharmacodynamics | Section 12 | Benefit-risk summary | None | Not reported,The specific section within the drug label or regulatory summary where the PRO data is located.,N/A,Section 14 Clinical Studies,None
109,Notes,Sheet 4 — Regulatory Review,Free text,See Definition,"Cross-references to specific pages in the EPAR or FDA Multi-Discipline Review, or notes on regulatory precedent.",Leave blank,Comparison between FDA and EMA show differing views on the same trial's PRO data quality.,None
